Station;Latitude;Longitude;Altitude (m)
AAFM;-8,2734;124,723;830
AAI;-3,6871;128,1943;157,2
AAII;-3,6871;128,194;160
ABJI;-7,7957;114,2342;144,36
ABSM;-3,4254;102,26295;380
ACBM;-7,029754;107,682833;766
ACJM;-6,8033;108,6151;646
ALKI;-8,1445;124,5903;720
ALTI;-8,29069;125,12517;13
AMPM;-1,2674;132,491;517
APSI;-0,9108;121,6487;143,5
ARMI;-5,7749;134,2189;73
ARPI;-2,89961;140,74765;38
ATNI;-9,0835;124,8644;404,62
BAJI;-7,09057;112,70853;76
BAKI;-1,19145;136,10702;89
BASI;-10,2189;120,5777;80,84
BATI;-10,2065;123,6633;356,11
BBBCM;-5,5771417;120,448;150
BBCI;1,158027;121,436232;8
BBCM;-5,0392;120,058;546
BBJI;-7,462603;107,65;615
BBJM;-7,326;111,8099;175
BBKI;-3,4625;114,8411;109,88
BBSI;-5,4885;122,56;95
BDBI;-8,52;115,2088;186
BDCM;-0,872636;119,586757;18
BESI;4,719933;96,86546;1372
BESM;4,151615;96,325344;646
BGCI;-0,8816;123,3911;11
BGCM;-0,049644;119,880075;18
BHCM;-2,7965;122,1259;11
BJI;-7,3329;109,7096;629
BKB;-1,1073;116,9048;110
BKJI;-7,3633;108,5322;84
BKNI;0,3262;101,0396;65
BKSI;-5,3219;120,1224;606
BLCM;-0,122934;119,687071;11
BLJI;-7,745;113,595;80,85
BLSI;-5,3676;105,2452;146,79
BLSM;-3,140218;102,8072;67
BMBNG;-6,66347;110,8839;1029
BMSI;-2,06641;102,31544;135
BNDI;-4,5224;129,9045;16
BNSI;-4,4006;120,1065;261
BNTI;-8,7881;120,9768;1186
BOJI;-7,56815;110,68936;196
BOSM;-4,859183;104,020736;640
BPJI;-7,8105;109,9971;64
BPMJM;-6,9505233;113,4922383;270,5
BPSM;-1,1924;100,58998;110
BSI;5,4964;95,2961;192
BSMI;-3,1075;130,4939;104
BSSI;-6,1428;120,4904;114,3
BTCM;-2,4768;121,9241;21
BTJI;-7,1972;109,1641;942
BUJI;-7,75603;109,46133;57
BUKI;1,252;118,709;13
BUSI;5,2445125;96,243038;6
BWJI;-5,8511;112,6578;57,56
BYJI;-8,214;114,3557;99,5
BYLI;-8,2273;116,4201;25
CBJI;-6,6981;106,9349;1006,39
CBJM;-6,93085;107,35624;679
CCJM;-7,01692;107,14019;48
CGJI;-6,6134;105,69;182
CIJI;-7,31741;108,19589;418
CIJM;-6,4926;108,1853;43
CISI;-7,5557;107,8153;544
