Station;Province;Location
AAFM;NTT;AlorSelatan,Alor
AAI;Maluku;Ambon,Maluku
AAII;Maluku;Ambon,Maluku
ABJI;JawaTimur;AsemBagus,Situbondo
ABSM;Bengkulu;Argamakmur,Bengkulu
ACBM;JawaBarat;Ayyu,Ciparay,Bandung
ACJM;JawaBarat;Astanajapura,Cirebon
ALKI;NTT;Alor,Kep.Alor
ALTI;NTT;AlorTimur
AMPM;PapuaBarat;Aifat,Maybrat
APSI;SulawesiTengah;Ampana
ARMI;Maluku;Aru,KepulauanAru
ARPI;PapuaBarat;Arso,Keerom
ATNI;NTT;Atambua,Kab.Belu
BAJI;JawaTimur;Socah,Bangkalan
BAKI;Papua;Biak
BASI;NTT;Baing,Waingapu
BATI;NTT;Baumata,Kupang
BBBCM;SulawesiSelatan;BontoBahari,Bulukumba
BBCI;SulawesiTengah;Biau,Buol
BBCM;SulawesiSelatan;Bontocani,Bone
BBJI;JawaBarat;Bungbulang,Garut
BBJM;JawaTimur;Bubulan,Bojonegoro
BBLSI;SulawesiTengah;Banggai-Tengah,Banggai-Laut
BBSI;SulawesiTenggara;BauBau,Buton
BDBI;Bali;Badung
BDCM;SulawesiTengah;BanawaSelatan,Donggala
BESI;Aceh;Bukit,BenerMeriah
BESM;Aceh;Beutong,NaganRaya
BGCI;SulawesiTengah;Balantak,Banggai
BGCM;SulawesiTengah;Balaesang,Donggala
BHCM;SulawesiTengah;Bahodopi,Morowali
BKB;KalimantanSelatan;Balikpapan
BKJI;JawaBarat;Banjar,KotaBanjar
BKNI;Riau;Bangkinang
BKSI;SulawesiSelatan;Bulukumba,Kab.Bulukumba
BLCM;SulawesiTengah;BalaesangTanjung,Donggala
BLJI;JawaTimur;Banyuglugur
BLSM;SumatraSelatan;BatukuningLakitanUlu,MusiRawas
BMBNG;JawaTengah;Ternadi,Dawe,Kudus
BMSI;Jambi;Bangko,Merangin
BNDI;Maluku;Bandaneira,P.Banda
BNSI;SulawesiSelatan;Bone
BNTI;NTT;Bajawa,Ngada
BOJI;JawaTengah;Sawit,Boyolali
BOSM;SumatraSelatan;BandingAgung,OkuSelatan
BPMJM;JawaTimur;Batumarmar,Pamekasan
BPSM;SumatraBarat;Bayang,PesisirSelatan
BSI;Aceh;BandaAceh
BSMI;Maluku;Bula,Seram
BSSI;SulawesiSelatan;Benteng,P.Selayar
BTCM;SulawesiTengah;BungkuTengah,Morowali
BTJI;JawaTengah;BumiJawa,Tegal
BUJI;JawaTengah;Buayan,Kebumen
BUKI;KalimantanTimur;Berau
BUMSI;SulawesiTengah;Bungku-Utara,Morowali-Utara
BUSI;Aceh;BandarBaru,PidieJaya
BWJI;JawaTimur;Bawean,Gresik
BYJI;JawaTimur;Banyuwangi
BYLI;NTB;Bayan,LombokUtara
CASI;Aceh;Calang
CBJI;JawaBarat;Citeko,Bogor
CBJM;JawaBarat;Cipongkor,BandungBarat
CCJM;JawaBarat;Campaka,Cianjur
CGJI;Banten;Cigeulis,Pandeglang
CIJI;JawaBarat;Cipedes,KotaTasikmalaya
CIJM;JawaBarat;Cikedung,Indramayu
CMJI;JawaBarat;Cimerak
CNJI;JawaBarat;Cibinong
CSJI;JawaBarat;Ciracap,Sukabumi
CSJM;JawaBarat;Congeang,Sumedang
CTJI;JawaTengah;WadukCacaban,Tegal
CWJM;JawaBarat;CikalongWetan,BandungBarat
DBJI;JawaBarat;Dramaga,Bogor
DBKI;KalimantanTengah;DusunSelatan,BaritoSelatan
DBNFM;NTB;Donggo
DDSI;Riau;DumaiTimur
DNP;Bali;Denpasar
DOCM;SulawesiTengah;Donggala
DYPI;Papua;Dekai,Yakuhimo
EDFI;NTT;Ende,Flores
EGSI;Bengkulu;Enggano
ERPI;Papua;Enarotali,EastPaniai
ESNI;NTB;Empang,Sumbawa
FAKI;PapuaBarat;Fakfak
FKMPM;Papua;Kurik,Merauke
GBJI;JawaTengah;Gringsing,Batang
GEJI;JawaTimur;Gedangan,Malang
GENI;Papua;Genyem
GESM;Aceh;Geumpang,Pidie
GGJM;JawaTengah;Gabus,Grobogan
GHMI;MalukuUtara;GaneBarat,HalmaheraSelatan
GKJM;Yogyakarta;Gedangsari,Gunung-Kidul
GMJI;JawaTimur;Gumukmas
GPSM;Aceh;Geumpang,Pidie
GRJI;JawaTimur;Gresik
GSI;SumatraUtara;Gunungsitoli,Nias
GTJI;JawaTengah;Gemawang,Temanggung
GTOI;Gorontalo;Gorontalo
GTSI;Riau;GunungToar,KuantanSingingi
GUJM;JawaTengah;Gubug,Grobogan
IATSM;Aceh;Idi,AcehTimur
IBTI;NTT;IleBoleng,FloresTimur
IGBI;Bali;Ingas
IHMI;MalukuUtara;Ibu,HalmaheraBarat
IHRSI;Riau;IndragiriHilir
IWPI;PapuaBarat;Rasiei,TelukWondama
JAGI;JawaTimur;Jajag
JASI;SumateraBarat;Sangir-BalaiJanggo,Solok-Selatan
JAY;Papua;Jayapura
JBJI;JawaBarat;Jasinga,Bogor
